total_mass_guess_kg,stall_speed_mps,cruise_speed_mps,aspect_ratio,taper_ratio,cl_max,cl_cr_target,cd0,oswald,rho,n_rotors,rotor_diameter_m,hover_fom,vert_climb_mps,transition_power_multiplier,hover_time_takeoff_s,hover_time_landing_s,prop_efficiency,elec_efficiency,batt_specific_energy_wh_kg,batt_usable_fraction,batt_reserve_fraction,batt_voltage_V,outbound_distance_miles,return_distance_miles,attack_time_s,retries,structural_mass_fraction,payload_mass_kg,OUT_converged,OUT_total_mass_kg,OUT_weight_N,OUT_wing_area_m2,OUT_span_m,OUT_root_chord_m,OUT_tip_chord_m,OUT_mac_m,OUT_q_cruise_Pa,OUT_cl_cruise,OUT_cd_induced,OUT_cd_total,OUT_drag_N,OUT_power_cruise_W,OUT_rotor_total_area_m2,OUT_power_hover_W,OUT_power_climb_W,OUT_power_transition_W,OUT_e_takeoff_hover,OUT_e_takeoff_climb,OUT_e_transition_out,OUT_e_outbound,OUT_e_attack,OUT_e_return,OUT_e_transition_in,OUT_e_landing_hover,OUT_e_retries,OUT_total_mission_energy_Wh,OUT_required_nominal_batt_Wh,OUT_battery_mass_kg,OUT_battery_Ah,OUT_peak_power_W,OUT_peak_current_A,OUT_peak_c_rate,OUT_mtow_calc_kg,OUT_error
30.0,22.0,45,8,0.5,1.6,0.5,0.045,0.7,1.225,4,0.4,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.2279446943629813,0.3713241157271635,0.18566205786358175,0.2888076455655716,1240.3125,0.38241975308641984,0.008312711990182135,0.05331271199018213,41.02803532526983,2735.202355017989,0.5026548245743669,7776.990298864379,8757.990298864379,6610.441754034722,32.404126245268245,12.163875415089416,27.54350730847801,190.2042833714355,22.79335295848324,190.2042833714355,27.54350730847801,32.404126245268245,0.0,535.2610622239362,799.8153803346172,3.6355244560664417,18.013859917446332,8757.990298864379,197.25203375820675,10.950014858679408,20.935524456066442,-0.30214918479778524
30.0,22.0,45,8,0.5,1.6,0.5,0.045,0.7,1.225,4,0.5,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.2279446943629813,0.3713241157271635,0.18566205786358175,0.2888076455655716,1240.3125,0.38241975308641984,0.008312711990182135,0.05331271199018213,41.02803532526983,2735.202355017989,0.7853981633974483,6221.592239091503,7202.592239091503,5288.353403227778,25.923300996214593,10.003600332071532,22.034805846782405,190.2042833714355,22.79335295848324,190.2042833714355,22.034805846782405,25.923300996214593,0.0,509.1217337194198,760.7566136037308,3.4579846072896854,17.13415796404799,7202.592239091503,162.22054592548432,9.46766956776435,20.757984607289686,-0.3080671797570105
30.0,22.0,45,8,0.5,1.6,0.5,0.045,0.7,1.225,4,0.6,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.2279446943629813,0.3713241157271635,0.18566205786358175,0.2888076455655716,1240.3125,0.38241975308641984,0.008312711990182135,0.05331271199018213,41.02803532526983,2735.202355017989,1.1309733552923256,5184.660199242919,6165.660199242919,4406.961169356481,21.602750830178827,8.563416943392943,18.362338205652005,190.2042833714355,22.79335295848324,190.2042833714355,18.362338205652005,21.602750830178827,0.0,491.69551471640887,734.7174357831398,3.339624708105181,16.54768999511576,6165.660199242919,138.86622070366934,8.391879515790862,20.63962470810518,-0.3120125097298273
30.0,22.0,45,8,0.5,1.6,0.5,0.045,0.7,1.225,4,0.7,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.2279446943629813,0.3713241157271635,0.18566205786358175,0.2888076455655716,1240.3125,0.38241975308641984,0.008312711990182135,0.05331271199018213,41.02803532526983,2735.202355017989,1.5393804002589984,4443.9944564939315,5424.9944564939315,3777.3952880198417,18.516643568724714,7.534714522908239,15.739147033416007,190.2042833714355,22.79335295848324,190.2042833714355,15.739147033416007,18.516643568724714,0.0,479.2482154285439,716.1180230541461,3.255081922973391,16.12878430302131,5424.9944564939315,122.18455983094441,7.575559170200838,20.555081922973393,-0.3148306025675536
30.0,22.0,45,10,0.5,1.6,0.5,0.045,0.7,1.225,4,0.4,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.490917893352809,0.33212238578037456,0.16606119289018728,0.25831741116251355,1240.3125,0.38241975308641984,0.006650169592145708,0.0516501695921457,39.74858722199273,2649.905814799515,0.5026548245743669,7776.990298864379,8757.990298864379,6610.441754034722,32.404126245268245,12.163875415089416,27.54350730847801,184.27281461682813,22.082548456662625,184.27281461682813,27.54350730847801,32.404126245268245,0.0,522.6873202129008,781.0270302031852,3.5501228645599325,17.590698878450116,8757.990298864379,197.25203375820675,11.213427909897021,20.850122864559932,-0.30499590451466896
30.0,22.0,45,10,0.5,1.6,0.5,0.045,0.7,1.225,4,0.5,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.490917893352809,0.33212238578037456,0.16606119289018728,0.25831741116251355,1240.3125,0.38241975308641984,0.006650169592145708,0.0516501695921457,39.74858722199273,2649.905814799515,0.7853981633974483,6221.592239091503,7202.592239091503,5288.353403227778,25.923300996214593,10.003600332071532,22.034805846782405,184.27281461682813,22.082548456662625,184.27281461682813,22.034805846782405,25.923300996214593,0.0,496.5479917083844,741.9682634722985,3.3725830157831753,16.71099692505177,7202.592239091503,162.22054592548432,9.707412828393046,20.672583015783175,-0.31091389947389414
30.0,22.0,45,10,0.5,1.6,0.5,0.045,0.7,1.225,4,0.6,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.490917893352809,0.33212238578037456,0.16606119289018728,0.25831741116251355,1240.3125,0.38241975308641984,0.006650169592145708,0.0516501695921457,39.74858722199273,2649.905814799515,1.1309733552923256,5184.660199242919,6165.660199242919,4406.961169356481,21.602750830178827,8.563416943392943,18.362338205652005,184.27281461682813,22.082548456662625,184.27281461682813,18.362338205652005,21.602750830178827,0.0,479.1217727053735,715.9290856517075,3.2542231165986704,16.12452895611954,6165.660199242919,138.86622070366934,8.612110225456675,20.55422311659867,-0.31485922944671096
30.0,22.0,45,10,0.5,1.6,0.5,0.045,0.7,1.225,4,0.7,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.490917893352809,0.33212238578037456,0.16606119289018728,0.25831741116251355,1240.3125,0.38241975308641984,0.006650169592145708,0.0516501695921457,39.74858722199273,2649.905814799515,1.5393804002589984,4443.9944564939315,5424.9944564939315,3777.3952880198417,18.516643568724714,7.534714522908239,15.739147033416007,184.27281461682813,22.082548456662625,184.27281461682813,15.739147033416007,18.516643568724714,0.0,466.6744734175086,697.3296729227139,3.1696803314668816,15.705623264025089,5424.9944564939315,122.18455983094441,7.779669598392656,20.469680331466883,-0.31767732228443724
30.0,22.0,45,12,0.5,1.6,0.5,0.045,0.7,1.225,4,0.4,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.7286638381651627,0.3031848709072403,0.15159243545362014,0.23581045515007573,1240.3125,0.38241975308641984,0.005541807993454757,0.05054180799345476,38.89562181980799,2593.041454653866,0.5026548245743669,7776.990298864379,8757.990298864379,6610.441754034722,32.404126245268245,12.163875415089416,27.54350730847801,180.31850211375658,21.608678788782214,180.31850211375658,27.54350730847801,32.404126245268245,0.0,514.3048255388774,768.5014634488973,3.4931884702222606,17.30859151911931,8757.990298864379,197.25203375820675,11.396192089940964,20.793188470222262,-0.30689371765925794
30.0,22.0,45,12,0.5,1.6,0.5,0.045,0.7,1.225,4,0.5,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.7286638381651627,0.3031848709072403,0.15159243545362014,0.23581045515007573,1240.3125,0.38241975308641984,0.005541807993454757,0.05054180799345476,38.89562181980799,2593.041454653866,0.7853981633974483,6221.592239091503,7202.592239091503,5288.353403227778,25.923300996214593,10.003600332071532,22.034805846782405,180.31850211375658,21.608678788782214,180.31850211375658,22.034805846782405,25.923300996214593,0.0,488.165497034361,729.4426967180107,3.315648621445503,16.42888956572096,7202.592239091503,162.22054592548432,9.874102889093555,20.615648621445505,-0.3128117126184832
30.0,22.0,45,12,0.5,1.6,0.5,0.045,0.7,1.225,4,0.6,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.7286638381651627,0.3031848709072403,0.15159243545362014,0.23581045515007573,1240.3125,0.38241975308641984,0.005541807993454757,0.05054180799345476,38.89562181980799,2593.041454653866,1.1309733552923256,5184.660199242919,6165.660199242919,4406.961169356481,21.602750830178827,8.563416943392943,18.362338205652005,180.31850211375658,21.608678788782214,180.31850211375658,18.362338205652005,21.602750830178827,0.0,470.73927803134995,703.4035188974195,3.197288722260998,15.842421596788729,6165.660199242919,138.86622070366934,8.765466810441254,20.497288722260997,-0.3167570425913001
